SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
AFST435,Advanced Swahili I,11:00 AM,12:20 PM,MW,1140,Foreign Languages Building
AFST443,Intermediate Wolof I,ARRANGED,,,,
AFST445,Advanced Wolof I,ARRANGED,,,,
AFST451,Intermediate Zulu I,ARRANGED,,,,
AFST490,Independent Study,ARRANGED,,,,
AFST550,Special Topics,ARRANGED,,,,
AFST599,Thesis Research,ARRANGED,,,,
AGCM220,Communicating Agriculture,12:30 PM,1:50 PM,TR,242,Bevier Hall
AGCM315,Social Media Management in Agricultural Communications,9:00 AM,9:50 AM,MWF,242,Bevier Hall
AGCM330,Environmental Communications,2:00 PM,3:20 PM,TR,307,Gregory Hall
AGCM375,International Agricultural Communications,11:00 AM,12:20 PM,TR,W203,Turner Hall
AGCM495,Communicating Science,5:30 PM,8:30 PM,T,,
AGED220,Prog Del in Ag &amp; Leadership Ed,9:00 AM,9:50 AM,MWF,122,Bevier Hall
AGED350,Early Field Experience,10:00 AM,11:20 AM,MW,122,Bevier Hall
AGED421,Teaching Strategies in AGED,2:00 PM,4:50 PM,T,122,Bevier Hall
AGED430,Youth Development Programs,5:30 PM,8:30 PM,M,,
AGED496,Beginning Agriculture Teachers Seminar,ARRANGED,,,,
AGED500,Special Topics in Ag Education,ARRANGED,,,,
AGED510,Education Program Management,ARRANGED,,,,
AGED511,Grad Professional Dev in Ag Ed,ARRANGED,,,,
AHS125,Freshmen Scholars Seminar,11:00 AM,11:50 AM,F,2001,Huff Hall
AHS199,Undergraduate Open Seminar,ARRANGED,,,,
AHS292,AHS Study Abroad,ARRANGED,,,,
AHS365,Civic Engagement in Wellness,3:30 PM,4:50 PM,TR,224,Freer Hall
AHS375,Comm Partners &amp; Health,5:00 PM,5:50 PM,M,1002,Huff Hall
AHS399,Advanced Open Seminar,ARRANGED,,,,
AHS494,Special Topics,ARRANGED,,,,
AIS101,Intro to Amer Indian Studies,9:30 AM,10:50 AM,TR,207,Psychology Building
AIS214,American Indian Law &amp; Politics,9:30 AM,10:50 AM,TR,115,David Kinley Hall
AIS265,Intro to American Indian Lit,12:30 PM,1:45 PM,TR,,
AIS277,Encounters in Native America,9:00 AM,9:50 AM,MWF,317,Gregory Hall
AIS285,Indigenous Thinkers,11:00 AM,12:15 PM,TR,32,Psychology Building
AIS343,Criminalization and Punishment,3:30 PM,4:50 PM,TR,G46,Foreign Languages Building
AIS503,Seminar in Indigenous Studies,2:00 PM,3:50 PM,W,174,Wohlers Hall
ALEC110,"Introduction to Agricultural Leadership, Education and Communications",9:30 AM,10:50 AM,TR,242,Bevier Hall
ALEC295,Independent Study or Research,ARRANGED,,,,
ALEC393,"Internship in Agricultural Leadership, Education and Communications",ARRANGED,,,,
ALEC396,Honors Research or Thesis,ARRANGED,,,,
ALEC400,"Foundations of Agricultural Leadership, Education and Communications",5:30 PM,8:30 PM,M,,
ALEC451,Professional Development in ALEC,3:00 PM,4:50 PM,M,242,Bevier Hall
ALEC505,Science and Art of Teaching and Learning,5:30 PM,8:30 PM,W,,
ALEC545,Research Methods and Design,5:30 PM,8:30 PM,R,,
ANSC100,Intro to Animal Sciences,8:00 AM,9:50 AM,T,107,Stock Pavilion
ANSC103,Working With Farm Animals,3:00 PM,4:50 PM,R,ARR,South Farms
ANSC110,Life With Animals and Biotech,3:00 PM,4:50 PM,TR,W203,Turner Hall
ANSC199,Undergraduate Open Seminar,ARRANGED,,,,
ANSC205,World Animal Resources,ARRANGED,,,,
ANSC206,Horse Management,12:30 PM,1:50 PM,R,ARR,South Farms
ANSC207,The Science of Pets and How to Care for Them,ARRANGED,,,,
ANSC210,Grilling and BBQ Science,9:00 AM,12:00 PM,R,120,Meat Science Laboratory
ANSC215,Introduction to Animal Evaluation,4:00 PM,6:50 PM,R,120,Meat Science Laboratory
ANSC221,"Cells, Metabolism and Genetics",10:00 AM,10:50 AM,MWF,150,Animal Sciences Laboratory
ANSC222,Anatomy and Physiology,9:00 AM,9:50 AM,MWF,150,Animal Sciences Laboratory
ANSC250,Companion Animals in Society,ARRANGED,,,,
ANSC251,Epidemics and Infectious Diseases,10:00 AM,10:50 AM,MWF,132,Bevier Hall
ANSC255,Animal Ethics,ARRANGED,,,,
ANSC256,Horse's Role in Human History,ARRANGED,,,,
ANSC298,Animal Science Careers and Professional Development,3:00 PM,3:50 PM,T,W115,Turner Hall
ANSC305,Human Animal Interactions,2:00 PM,2:50 PM,M,,
ANSC307,Companion Animal Management,11:00 AM,12:20 PM,TR,131,Animal Sciences Laboratory
ANSC310,Meat Selection and Grading,3:00 PM,5:50 PM,MWF,120,Meat Science Laboratory
ANSC312,Advanced Livestock Evaluation,3:00 PM,4:50 PM,MWF,ARENA,Stock Pavilion
ANSC314,Adv Dairy Cattle Evaluation,ARRANGED,,,404,Animal Sciences Laboratory
ANSC350,Cellular Metabolism in Animals,2:00 PM,3:20 PM,TR,131,Animal Sciences Laboratory
ANSC398,UG Experiential Learning,ARRANGED,,,,
ANSC400,Dairy Herd Management,11:00 AM,11:50 AM,MWF,292,Animal Sciences Laboratory
ANSC401,Beef Production,11:00 AM,11:50 AM,MWF,131,Animal Sciences Laboratory
ANSC420,Ruminant Nutrition,10:00 AM,10:50 AM,MWF,131,Animal Sciences Laboratory
ANSC422,Companion Animal Nutrition,ARRANGED,,,,
ANSC424,Pet Food &amp; Feed Manufacturing,3:30 PM,4:50 PM,TR,292,Animal Sciences Laboratory
ANSC431,Advanced Reproductive Biology,1:00 PM,1:50 PM,MWF,132,Bevier Hall
ANSC440,Applied Statistical Methods I,3:30 PM,4:50 PM,TR,149,National Soybean Res Ctr
ANSC441,Human Genetics,12:30 PM,1:50 PM,TR,209A,Davenport Hall
ANSC444,Applied Animal Genetics,ARRANGED,,,,
ANSC452,Animal Growth and Development,9:00 AM,9:50 AM,MWF,132,Bevier Hall
ANSC470,Companion Animal Cruelty Investigations,1:00 PM,2:50 PM,W,107,Animal Sciences Laboratory
ANSC498,Integrating Animal Sciences,3:00 PM,4:50 PM,M,131,Animal Sciences Laboratory
ANSC499,Seminar,ARRANGED,,,,
ANSC523,Techniques in Animal Nutrition,2:30 PM,4:20 PM,TR,107,Animal Sciences Laboratory
ANSC525,Topics in Nutrition Research,5:30 PM,6:50 PM,R,,
ANSC590,Animal Sciences Seminar,1:00 PM,1:50 PM,T,,
ANSC593,Res Studies in Animal Sciences,ARRANGED,,,,
